"STATION","NAME","DATE","SNOW","TSUN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-04","10",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-12","66",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-01","33",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-02","25",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2008-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-01","48",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-02","3",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-03","139",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2009-12","422",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-01","188",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-02","815",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2010-12","53",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-01","185",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-02","13",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-03","5",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-07","0",
